contact_id,email,is_primary,location_type_id
235,peter@sccs.org,1,Work
239,john@sccs.org,1,Work
240,phoebe@sccs.org,1,Work
241,demi@sccs.org,1,Work
242,terry@sccs.org,1,Work
243,lucy@sccs.org,1,Work
244,ellie@sccs.org,1,Work
245,jack@sccs.org,1,Work
246,deepika@sccs.org,1,Work
247,tom@sccs.org,1,Work
248,chloe@sccs.org,1,Work
249,nadine@sccs.org,1,Work
250,mike@sccs.org,1,Work
251,james@sccs.org,1,Work
252,freya@sccs.org,1,Work
253,sydney@sccs.org,1,Work
254,chris@sccs.org,1,Work
255,lucie@sccs.org,1,Work
256,keith@sccs.org,1,Work
257,annabelle@sccs.org,1,Work
258,james1@sccs.org,1,Work
259,matthew@sccs.org,1,Work
260,louisa@sccs.org,1,Work
261,francesca@sccs.org,1,Work
262,jackie@sccs.org,1,Work
263,bob@sccs.org,1,Work
264,olivia@sccs.org,1,Work
265,lewis@sccs.org,1,Work
266,christine@sccs.org,1,Work
267,megan@sccs.org,1,Work
268,elodie@sccs.org,1,Work
269,tim@sccs.org,1,Work
270,kirsty@sccs.org,1,Work
271,aaron@sccs.org,1,Work
272,winnie@sccs.org,1,Work
273,alex@sccs.org,1,Work
274,victoria@sccs.org,1,Work
275,alan@sccs.org,1,Work
276,hazel@sccs.org,1,Work
277,elena@sccs.org,1,Work
278,philippa@sccs.org,1,Work
279,peter@sccs.org,1,Work
280,casey@sccs.org,1,Work
281,berry@sccs.org,1,Work
282,kayleigh@sccs.org,1,Work
283,martin@sccs.org,1,Work
284,diane@sccs.org,1,Work
285,sarah@sccs.org,1,Work
286,paul@sccs.org,1,Work
287,andriana@sccs.org,1,Work
288,zoe@sccs.org,1,Work
289,izzy@sccs.org,1,Work
290,ben@sccs.org,1,Work
291,simon@sccs.org,1,Work
292,janice@sccs.org,1,Work
293,brian@sccs.org,1,Work
294,helen@sccs.org,1,Work
295,tracey@sccs.org,1,Work
296,josh@sccs.org,1,Work
297,vivienne@sccs.org,1,Work
298,josie@sccs.org,1,Work
299,natasha@sccs.org,1,Work
300,max@sccs.org,1,Work
301,aaron1@sccs.org,1,Work
302,alexia@sccs.org,1,Work
303,chloe1@sccs.org,1,Work
304,robbie@sccs.org,1,Work
305,shana@sccs.org,1,Work
306,jake@sccs.org,1,Work
307,amber@sccs.org,1,Work
308,danny@sccs.org,1,Work
309,lara@sccs.org,1,Work
310,sarah1@sccs.org,1,Work
311,keiran@sccs.org,1,Work
312,evie@sccs.org,1,Work
313,lars@sccs.org,1,Work
314,phoebe1@sccs.org,1,Work
315,jamie@sccs.org,1,Work
316,patricia@sccs.org,1,Work
317,sophie@sccs.org,1,Work
318,mariella@sccs.org,1,Work
319,harry@sccs.org,1,Work
320,luke@sccs.org,1,Work
321,jasmine@sccs.org,1,Work
322,selin@sccs.org,1,Work
323,sarah-jane@sccs.org,1,Work
324,adam@sccs.org,1,Work
325,nathan@sccs.org,1,Work
326,amelia@sccs.org,1,Work
327,karen@sccs.org,1,Work
328,joel@sccs.org,1,Work
329,louis@sccs.org,1,Work
330,elsa@sccs.org,1,Work
331,sharon@sccs.org,1,Work
332,ben1@sccs.org,1,Work
333,lauren@sccs.org,1,Work
334,jason@sccs.org,1,Work
335,emily@sccs.org,1,Work
336,harriet@sccs.org,1,Work
337,katherine@sccs.org,1,Work
338,jacob@sccs.org,1,Work
339,murdo@sccs.org,1,Work
340,alicia@sccs.org,1,Work
341,adok@sccs.org,1,Work
342,robin@sccs.org,1,Work
288,zoe123@qmail.com,0,Home
324,adamhenry@dmail.com,0,Home
306,rightmyer.adam@qmail.com,0,Home
