contact_id,is_primary,phone,phone_numeric,phone_type_id,location_type_id
235,1,7586311952,7586311952,Mobile,Home
235,0,079 6817 3551,7968173551,Phone,Work
239,1,7246855975,7246855975,Mobile,Home
239,0,070 8891 9127,7088919127,Phone,Work
240,1,7145226389,7145226389,Mobile,Home
240,0,078 8913 5710,7889135710,Phone,Work
241,1,7415688762,7415688762,Mobile,Home
241,0,079 8157 0068,7981570068,Phone,Work
242,1,7788652198,7788652198,Mobile,Home
242,0,079 3081 3538,7930813538,Phone,Work
243,1,7975126496,7975126496,Mobile,Home
243,0,078 0013 7257,7800137257,Phone,Work
244,1,7845997682,7845997682,Mobile,Home
244,0,078 2421 7182,7824217182,Phone,Work
245,1,7145644820,7145644820,Mobile,Home
245,0,070 3788 1846,7037881846,Phone,Work
246,1,7568197805,7568197805,Mobile,Home
246,0,078 1735 3428,7817353428,Phone,Work
247,1,7778510236,7778510236,Mobile,Home
247,0,077 2708 9030,7727089030,Phone,Work
248,1,7443630510,7443630510,Mobile,Home
248,0,079 8652 9257,7986529257,Phone,Work
249,1,7912853429,7912853429,Mobile,Home
249,0,078 3658 0476,7836580476,Phone,Work
250,1,7504242150,7504242150,Mobile,Home
250,0,079 2210 4525,7922104525,Phone,Work
251,1,7781675723,7781675723,Mobile,Home
251,0,070 2483 9740,7024839740,Phone,Work
252,1,7951576852,7951576852,Mobile,Home
252,0,077 0836 3766,7708363766,Phone,Work
253,1,7353980907,7353980907,Mobile,Home
253,0,077 3949 7220,7739497220,Phone,Work
254,1,7504261947,7504261947,Mobile,Home
254,0,077 6366 8397,7763668397,Phone,Work
255,1,7667041278,7667041278,Mobile,Home
255,0,070 4661 9586,7046619586,Phone,Work
256,1,7975840506,7975840506,Mobile,Home
256,0,079 6777 3706,7967773706,Phone,Work
257,1,7807054040,7807054040,Mobile,Home
257,0,078 6176 4020,7861764020,Phone,Work
258,1,7413473091,7413473091,Mobile,Home
258,0,077 6550 9806,7765509806,Phone,Work
259,1,7756892344,7756892344,Mobile,Home
259,0,070 8042 5179,7080425179,Phone,Work
260,1,7589123472,7589123472,Mobile,Home
260,0,077 6235 2535,7762352535,Phone,Work
261,1,7951548052,7951548052,Mobile,Home
261,0,079 7549 7971,7975497971,Phone,Work
262,1,7972354368,7972354368,Mobile,Home
262,0,079 6932 5910,7969325910,Phone,Work
263,1,7589565142,7589565142,Mobile,Home
263,0,077 6745 6136,7767456136,Phone,Work
264,1,7845129674,7845129674,Mobile,Home
264,0,079 0036 6444,7900366444,Phone,Work
265,1,7479536132,7479536132,Mobile,Home
265,0,078 0785 5095,7807855095,Phone,Work
266,1,7725174042,7725174042,Mobile,Home
266,0,079 7309 4693,7973094693,Phone,Work
267,1,7692584910,7692584910,Mobile,Home
267,0,070 1678 3811,7016783811,Phone,Work
268,1,7524993641,7524993641,Mobile,Home
268,0,077 5664 3976,7756643976,Phone,Work
269,1,7415859797,7415859797,Mobile,Home
269,0,077 5062 9842,7750629842,Phone,Work
270,1,7542681798,7542681798,Mobile,Home
270,0,078 5817 5934,7858175934,Phone,Work
271,1,7564781923,7564781923,Mobile,Home
271,0,077 7935 0028,7779350028,Phone,Work
272,1,7598245206,7598245206,Mobile,Home
272,0,079 2485 1558,7924851558,Phone,Work
273,1,7974551397,7974551397,Mobile,Home
273,0,077 6246 0189,7762460189,Phone,Work
274,1,7882436770,7882436770,Mobile,Home
274,0,078 6669 1159,7866691159,Phone,Work
275,1,7841364979,7841364979,Mobile,Home
275,0,078 7164 3806,7871643806,Phone,Work
276,1,7991326115,7991326115,Mobile,Home
276,0,070 6496 5516,7064965516,Phone,Work
277,1,7568194278,7568194278,Mobile,Home
277,0,079 2481 5802,7924815802,Phone,Work
278,1,7976159753,7976159753,Mobile,Home
278,0,078 8803 1374,7888031374,Phone,Work
279,1,7675812463,7675812463,Mobile,Home
279,0,077 5736 7336,7757367336,Phone,Work
280,1,7484756692,7484756692,Mobile,Home
280,0,070 3467 3546,7034673546,Phone,Work
281,1,7254468171,7254468171,Mobile,Home
281,0,078 5094 9932,7850949932,Phone,Work
282,1,7411523698,7411523698,Mobile,Home
282,0,077 1631 7510,7716317510,Phone,Work
283,1,7568174526,7568174526,Mobile,Home
283,0,077 3605 9691,7736059691,Phone,Work
284,1,7710121964,7710121964,Mobile,Home
284,0,070 3221 0109,7032210109,Phone,Work
285,1,7850506994,7850506994,Mobile,Home
285,0,079 6776 8405,7967768405,Phone,Work
286,1,7548177192,7548177192,Mobile,Home
286,0,078 0312 0715,7803120715,Phone,Work
287,1,7548845112,7548845112,Mobile,Home
287,0,077 5623 7217,7756237217,Phone,Work
288,1,7788456172,7788456172,Mobile,Home
288,0,070 0171 5320,7001715320,Phone,Work
289,1,7985648725,7985648725,Mobile,Home
289,0,078 6251 5714,7862515714,Phone,Work
290,1,7689256458,7689256458,Mobile,Home
290,0,077 8007 1910,7780071910,Phone,Work
291,1,7522174571,7522174571,Mobile,Home
291,0,077 2177 9314,7721779314,Phone,Work
292,1,7899625310,7899625310,Mobile,Home
292,0,079 6075 2983,7960752983,Phone,Work
293,1,7788360592,7788360592,Mobile,Home
293,0,079 5512 0651,7955120651,Phone,Work
294,1,7544822169,7544822169,Mobile,Home
294,0,070 4229 1297,7042291297,Phone,Work
295,1,7841517948,7841517948,Mobile,Home
295,0,078 3920 6315,7839206315,Phone,Work
296,1,7789633510,7789633510,Mobile,Home
296,0,078 4009 5987,7840095987,Phone,Work
297,1,7455869912,7455869912,Mobile,Home
297,0,078 7260 4965,7872604965,Phone,Work
298,1,7415687925,7415687925,Mobile,Home
298,0,078 7858 0019,7878580019,Phone,Work
299,1,7514452471,7514452471,Mobile,Home
299,0,077 1752 0904,7717520904,Phone,Work
300,1,7788964235,7788964235,Mobile,Home
300,0,070 2339 1210,7023391210,Phone,Work
301,1,7972147844,7972147844,Mobile,Home
301,0,077 7532 5873,7775325873,Phone,Work
302,1,7854465312,7854465312,Mobile,Home
302,0,077 6198 7884,7761987884,Phone,Work
303,1,7958644759,7958644759,Mobile,Home
303,0,079 7098 2097,7970982097,Phone,Work
304,1,7814225364,7814225364,Mobile,Home
304,0,077 7358 8150,7773588150,Phone,Work
305,1,7485699798,7485699798,Mobile,Home
305,0,077 1902 2038,7719022038,Phone,Work
306,1,7585162235,7585162235,Mobile,Home
306,0,077 0696 5941,7706965941,Phone,Work
307,1,7841522673,7841522673,Mobile,Home
307,0,078 7637 0915,7876370915,Phone,Work
308,1,7482977810,7482977810,Mobile,Home
308,0,079 1420 8626,7914208626,Phone,Work
309,1,7568175108,7568175108,Mobile,Home
309,0,078 2434 4609,7824344609,Phone,Work
310,1,7528191854,7528191854,Mobile,Home
310,0,070 1847 4506,7018474506,Phone,Work
311,1,7560602214,7560602214,Mobile,Home
311,0,078 3079 6526,7830796526,Phone,Work
312,1,7459788102,7459788102,Mobile,Home
312,0,078 4951 6723,7849516723,Phone,Work
313,1,7658942350,7658942350,Mobile,Home
313,0,070 7581 3160,7075813160,Phone,Work
314,1,7546215549,7546215549,Mobile,Home
314,0,079 7429 9877,7974299877,Phone,Work
315,1,7859962130,7859962130,Mobile,Home
315,0,079 3825 3324,7938253324,Phone,Work
316,1,7458621927,7458621927,Mobile,Home
316,0,078 6978 9256,7869789256,Phone,Work
317,1,7855642879,7855642879,Mobile,Home
317,0,077 4416 8151,7744168151,Phone,Work
318,1,7568499325,7568499325,Mobile,Home
318,0,077 2144 3581,7721443581,Phone,Work
319,1,7657122109,7657122109,Mobile,Home
319,0,070 5810 0080,7058100080,Phone,Work
320,1,7512481736,7512481736,Mobile,Home
320,0,079 0472 9807,7904729807,Phone,Work
321,1,7248191245,7248191245,Mobile,Home
321,0,079 7470 7414,7974707414,Phone,Work
322,1,7356912047,7356912047,Mobile,Home
322,0,078 3305 4780,7833054780,Phone,Work
323,1,7788360606,7788360606,Mobile,Home
323,0,079 6369 9411,7963699411,Phone,Work
324,1,7925547913,7925547913,Mobile,Home
324,0,078 7460 2008,7874602008,Phone,Work
325,1,7755612375,7755612375,Mobile,Home
325,0,077 0095 4980,7700954980,Phone,Work
326,1,7998514263,7998514263,Mobile,Home
326,0,078 7154 4823,7871544823,Phone,Work
327,1,7412385206,7412385206,Mobile,Home
327,0,070 5449 6686,7054496686,Phone,Work
328,1,7951357468,7951357468,Mobile,Home
328,0,078 7939 1085,7879391085,Phone,Work
329,1,7419852645,7419852645,Mobile,Home
329,0,070 1310 1022,7013101022,Phone,Work
330,1,7946513282,7946513282,Mobile,Home
330,0,070 6832 0098,7068320098,Phone,Work
331,1,7645584231,7645584231,Mobile,Home
331,0,079 0086 3722,7900863722,Phone,Work
332,1,7125944682,7125944682,Mobile,Home
332,0,070 1252 3326,7012523326,Phone,Work
333,1,7255486731,7255486731,Mobile,Home
333,0,070 5240 0778,7052400778,Phone,Work
334,1,7411258697,7411258697,Mobile,Home
334,0,079 4213 3834,7942133834,Phone,Work
335,1,7418152683,7418152683,Mobile,Home
335,0,070 6548 9179,7065489179,Phone,Work
336,1,7268171842,7268171842,Mobile,Home
336,0,070 4506 5629,7045065629,Phone,Work
337,1,7982664583,7982664583,Mobile,Home
337,0,079 2712 9862,7927129862,Phone,Work
338,1,7412859330,7412859330,Mobile,Home
338,0,078 0122 2756,7801222756,Phone,Work
339,1,7445986312,7445986312,Mobile,Home
339,0,077 8566 6093,7785666093,Phone,Work
340,1,7784659243,7784659243,Mobile,Home
340,0,077 6568 1955,7765681955,Phone,Work
341,1,7415258946,7415258946,Mobile,Home
341,0,079 1824 1753,7918241753,Phone,Work
342,1,7455829361,7455829361,Mobile,Home
342,0,078 8066 7393,7880667393,Phone,Work
288,0,020 1234 1234,2012341234,Phone,Home
324,0,020 3344 5566,2033445566,Phone,Home
306,0,020 5555 7777,2055557777,Phone,Home
